Index,Variant,"Region, subregion, country or area *",Notes,Country code,Parent code,1990,1995,2000,2005,2010,2015,2019,2020
73,Estimates,Mali,,466,914,8450,9586,10946,12776,15049,17439,19658,20251
74,Estimates,Mauritania,,478,914,2034,2314,2630,3024,3494,4046,4526,4650
75,Estimates,Niger,,562,914,8027,9490,11332,13624,16464,20002,23311,24207
76,Estimates,Nigeria,,566,914,95212,107948,122284,138865,158503,181137,200964,206140
77,Estimates,Saint Helena,4,654,914,7,6,6,5,5,6,6,6
78,Estimates,Senegal,,686,914,7526,8690,9798,11090,12678,14578,16296,16744
79,Estimates,Sierra Leone,,694,914,4320,4304,4585,5646,6416,7172,7813,7977
80,Estimates,Togo,,768,914,3774,4226,4924,5612,6422,7323,8082,8279
81,Estimates,NORTHERN AFRICA AND WESTERN ASIA,,1833,1828,288060,323178,355882,391986,435367,481520,517106,525869
82,Estimates,Northern Africa,,912,1833,139745,156511,171323,186421,202940,223862,241781,246233
83,Estimates,Algeria,,12,912,25759,28758,31042,33150,35977,39728,43053,43851
84,Estimates,Egypt,,818,912,56134,62334,68832,75524,82761,92443,100388,102334
85,Estimates,Libya,,434,912,4437,4949,5358,5799,6198,6418,6777,6871
86,Estimates,Morocco,,504,912,24807,26994,28794,30456,32343,34664,36472,36911
87,Estimates,Sudan,,729,912,20148,24095,27275,30950,34545,38903,42813,43849
88,Estimates,Tunisia,,788,912,8243,9125,9708,10107,10635,11180,11695,11819
89,Estimates,Western Sahara,,732,912,217,256,314,438,480,526,582,597
90,Estimates,Western Asia,,922,1833,148316,166667,184559,205564,232427,257658,275325,279637
91,Estimates,Armenia,,51,922,3538,3217,3070,2981,2877,2926,2958,2963
92,Estimates,Azerbaijan,5,31,922,7243,7775,8123,8539,9032,9623,10048,10139
93,Estimates,Bahrain,,48,922,496,564,665,889,1241,1372,1641,1702
94,Estimates,Cyprus,6,196,922,767,855,943,1028,1113,1161,1199,1207
95,Estimates,Georgia,7,268,922,5410,4976,4362,4210,4099,4024,3997,3989
96,Estimates,Iraq,,368,922,17419,20149,23498,26922,29742,35572,39310,40223
97,Estimates,Israel,,376,922,4448,5271,5946,6529,7346,7978,8519,8656
98,Estimates,Jordan,,400,922,3566,4589,5122,5766,7262,9267,10102,10203
99,Estimates,Kuwait,,414,922,2095,1606,2045,2270,2992,3836,4207,4271
100,Estimates,Lebanon,,422,922,2803,3528,3843,4699,4953,6533,6856,6825
101,Estimates,Oman,,512,922,1812,2204,2268,2511,3041,4267,4975,5107
102,Estimates,Qatar,,634,922,476,513,592,865,1856,2566,2832,2881
103,Estimates,Saudi Arabia,,682,922,16234,18639,20664,23816,27421,31718,34269,34814
104,Estimates,State of Palestine,8,275,922,2101,2619,3224,3578,4056,4529,4981,5101
105,Estimates,Syrian Arab Republic,,760,922,12446,14345,16411,18361,21363,17997,17070,17501
106,Estimates,Turkey,,792,922,53922,58486,63240,67903,72327,78529,83430,84339
107,Estimates,United Arab Emirates,,784,922,1828,2415,3134,4588,8550,9263,9771,9890
108,Estimates,Yemen,,887,922,11710,14913,17409,20107,23155,26498,29162,29826
109,Estimates,CENTRAL AND SOUTHERN ASIA,,921,1828,1239984,1376200,1511915,1647074,1775361,1896327,1991424,2014709
110,Estimates,Central Asia,,5500,921,50123,53169,55346,58450,62805,68480,73212,74339
111,Estimates,Kazakhstan,,398,5500,16384,15839,14923,15403,16252,17572,18551,18777
112,Estimates,Kyrgyzstan,,417,5500,4373,4566,4921,5075,5422,5959,6416,6524
113,Estimates,Tajikistan,,762,5500,5284,5765,6216,6789,7527,8454,9321,9538
114,Estimates,Turkmenistan,,795,5500,3684,4208,4516,4755,5087,5565,5942,6031
115,Estimates,Uzbekistan,,860,5500,20398,22791,24770,26428,28516,30930,32982,33469
116,Estimates,Southern Asia,,5501,921,1189861,1323030,1456569,1588624,1712555,1827847,1918211,1940370
117,Estimates,Afghanistan,,4,5501,12412,18111,20780,25654,29186,34414,38042,38928
118,Estimates,Bangladesh,,50,5501,103172,115170,127658,139036,147575,156256,163046,164689
119,Estimates,Bhutan,,64,5501,531,535,591,649,686,728,763,772
120,Estimates,India,,356,5501,873278,963923,1056576,1147610,1234281,1310152,1366418,1380004
121,Estimates,Iran (Islamic Republic of),,364,5501,56366,61443,65623,69762,73763,78492,82914,83993
122,Estimates,Maldives,,462,5501,223,254,279,320,366,455,531,541
123,Estimates,Nepal,,524,5501,18905,21576,23941,25745,27013,27015,28609,29137
124,Estimates,Pakistan,,586,5501,107648,123777,142344,160304,179425,199427,216565,220892
125,Estimates,Sri Lanka,,144,5501,17326,18243,18778,19545,20262,20908,21324,21413
126,Estimates,EASTERN AND SOUTH-EASTERN ASIA,,1832,1828,1837799,1950220,2044789,2125348,2201807,2279490,2334623,2346709
127,Estimates,Eastern Asia,,906,1832,1393335,1464565,1519781,1564192,1604859,1645184,1672611,1678090
128,Estimates,China,9,156,906,1176884,1240921,1290551,1330776,1368811,1406848,1433784,1439324
129,Estimates,"China, Hong Kong SAR",10,344,906,5728,6084,6606,6770,6966,7186,7436,7497
130,Estimates,"China, Macao SAR",11,446,906,344,386,428,483,538,602,640,649
131,Estimates,"China, Taiwan Province of China",12,158,906,20479,21356,21967,22706,23188,23557,23774,23817
132,Estimates,Dem. People's Republic of Korea,,408,906,20293,21862,22929,23904,24549,25184,25666,25779
133,Estimates,Japan,,392,906,124505,126365,127524,128326,128542,127985,126860,126476
134,Estimates,Mongolia,,496,906,2184,2298,2397,2526,2720,2998,3225,3278
135,Estimates,Republic of Korea,,410,906,42918,45293,47379,48701,49546,50823,51225,51269
136,Estimates,South-Eastern Asia,,920,1832,444464,485655,525008,561156,596947,634306,662012,668620
137,Estimates,Brunei Darussalam,,96,920,259,297,333,365,389,415,433,437
138,Estimates,Cambodia,,116,920,8976,10656,12155,13273,14312,15521,16487,16719
139,Estimates,Indonesia,,360,920,181413,196934,211514,226289,241834,258383,270626,273524
